,university_name,professor_name,ave_if,num_of_pub,overall_impact,impact_level,Community Contribution
153,University of Pennsylvania,Noor Momin,5.3,0.3,2.4124931657365107,0,Tier 6
154,University of Sydney,Fernando Calamante,4.7942857142857145,3.5,24.829783598924372,2,Tier 4
155,University of California Los Angeles,Arash Naeim,6.307317073170732,4.1,40.98167326564515,3,Tier 3
156,University of Pennsylvania,Riccardo Gottardi,5.38695652173913,2.3,18.87587853245114,2,Tier 4
157,Shanghai Jiao Tong University,Xiaohua Qian,5.561764705882353,3.4,29.039870931305025,2,Tier 4
158,Duke University,Blake S Wilson,6.605882352941176,1.7,18.003728911162693,2,Tier 4
159,University of California Los Angeles,Nasim Annabi,9.642028985507245,6.9,117.23563270947614,4,Tier 2
160,University of Cambridge,Ozgur Akan,3.125,0.4,1.661967467795309,0,Tier 6
161,University of California Berkeley,Daniel A. Fletcher,13.746575342465754,7.3,193.22619684349414,5,Tier 1
162,University of California Los Angeles,Sophia Sangiorgio,3.1684210526315795,3.8,16.063390216647047,1,Tier 5
163,Stanford University,Michael Lin,16.03898305084746,5.9,189.37517501262045,5,Tier 1
164,University of Pittsburgh,Gandhi Neeraj,2.963636363636364,1.1,4.2773405484143225,0,Tier 6
165,University of California San Diego,Anjana Rao,13.744642857142859,5.6,148.20226853484644,5,Tier 1
166,Johns Hopkins University,Jeremias Sulam,5.104166666666667,2.4,18.412692505741234,2,Tier 4
167,Nanyang Technological University,Zaher Judeh,7.122727272727272,2.2,25.599446505396788,2,Tier 4
168,University of Cambridge,Ronan Daly,7.609090909090909,1.1,13.90140356135012,1,Tier 5
169,University of Michigan,Kelly Arnold,7.570967741935485,3.1,38.93148220362483,3,Tier 3
170,Shanghai Jiao Tong University,Bing Han,6.461340206185567,19.4,199.8503855271547,5,Tier 1
171,University of California San Francisco,Srikantan Nagarajan,4.195348837209303,12.9,77.45506225277737,4,Tier 2
172,Carnegie Mellon University,Bin He,5.346666666666667,4.5,36.58612385918545,3,Tier 3
173,Duke University,Warren M Grill,4.438167938931298,13.1,84.3870801726957,4,Tier 2
174,Rice University,Tomasz Tkaczyk,3.5071428571428576,2.8,13.43847079735246,1,Tier 5
175,Carnegie Mellon University,Rachelle Palchesko,6.9399999999999995,1.0,11.264173677944129,1,Tier 5
176,University of Pittsburgh,Gleason Thomas,6.261538461538462,18.2,180.26968660132826,5,Tier 1
177,University of British Columbia,Rafeefgarbi,6.157458563535913,18.1,175.56197074261337,5,Tier 1
